Time (UTC)	Intensity
2025-06-11 03:10:19.000363525+00:00	1.640235e+11
2025-06-11 03:10:20.000363525+00:00	1.640600e+11
2025-06-11 03:10:24.000363525+00:00	1.640322e+11
2025-06-11 03:10:48.000363525+00:00	1.640355e+11
2025-06-11 03:10:52.000363525+00:00	1.640440e+11
2025-06-11 03:11:01.000363525+00:00	1.640987e+11
2025-06-11 03:11:04.000363525+00:00	1.640966e+11
2025-06-11 03:11:12.000363525+00:00	1.641068e+11
2025-06-11 03:11:16.000363525+00:00	1.641000e+11
2025-06-11 03:11:18.000363525+00:00	1.640464e+11
2025-06-11 03:11:21.000363525+00:00	1.640933e+11
2025-06-11 03:11:27.000363525+00:00	1.640778e+11
2025-06-11 03:11:29.000363525+00:00	1.641010e+11
2025-06-11 03:11:32.000363525+00:00	1.640965e+11
2025-06-11 03:11:33.000363525+00:00	1.640901e+11
2025-06-11 03:11:37.000363525+00:00	1.639972e+11
2025-06-11 03:11:38.000363525+00:00	1.640417e+11
2025-06-11 03:11:39.000363525+00:00	1.639968e+11
2025-06-11 03:11:43.000363525+00:00	1.640649e+11
2025-06-11 03:11:44.000363525+00:00	1.640149e+11
2025-06-11 03:11:54.000363525+00:00	1.640056e+11
2025-06-11 03:11:58.000363525+00:00	1.640098e+11
2025-06-11 03:11:59.000363525+00:00	1.640257e+11
2025-06-11 03:12:01.000363525+00:00	1.640088e+11
2025-06-11 03:12:02.000363525+00:00	1.640142e+11
2025-06-11 03:12:04.000363525+00:00	1.641051e+11
2025-06-11 03:12:05.000363525+00:00	1.640887e+11
2025-06-11 03:12:06.000363525+00:00	1.640910e+11
2025-06-11 03:12:07.000363525+00:00	1.640913e+11
2025-06-11 03:12:09.000363525+00:00	1.640873e+11
2025-06-11 03:12:10.000363525+00:00	1.640926e+11
2025-06-11 03:12:11.000363525+00:00	1.640850e+11
2025-06-11 03:12:13.000363525+00:00	1.640873e+11
2025-06-11 03:12:17.000363525+00:00	1.640802e+11
2025-06-11 03:12:18.000363525+00:00	1.640785e+11
2025-06-11 03:12:21.000363525+00:00	1.640931e+11
2025-06-11 03:12:27.000363525+00:00	1.640791e+11
2025-06-11 03:12:29.000363525+00:00	1.640871e+11
2025-06-11 03:12:34.000363525+00:00	1.640894e+11
2025-06-11 03:12:39.000363525+00:00	1.640966e+11
2025-06-11 03:12:41.000363525+00:00	1.640820e+11
2025-06-11 03:12:50.000363525+00:00	1.640827e+11
2025-06-11 03:12:59.000363525+00:00	1.640683e+11
2025-06-11 03:13:08.000363525+00:00	1.640662e+11
2025-06-11 03:13:11.000363525+00:00	1.639967e+11
2025-06-11 03:13:18.000363525+00:00	1.640463e+11
2025-06-11 03:13:33.000363525+00:00	1.640401e+11
2025-06-11 03:13:34.000363525+00:00	1.640524e+11
2025-06-11 03:13:39.000363525+00:00	1.640454e+11
2025-06-11 03:13:43.000363525+00:00	1.640607e+11
2025-06-11 03:13:56.000363525+00:00	1.640579e+11
2025-06-11 03:14:00.000363525+00:00	1.640244e+11
2025-06-11 03:14:06.000363525+00:00	1.640549e+11
2025-06-11 03:14:09.000363525+00:00	1.640394e+11
2025-06-11 03:14:11.000363525+00:00	1.640271e+11
2025-06-11 03:14:12.000363525+00:00	1.640334e+11
2025-06-11 03:14:17.000363525+00:00	1.640454e+11
2025-06-11 03:14:19.000363525+00:00	1.640190e+11
2025-06-11 03:14:21.000363525+00:00	1.640163e+11
2025-06-11 03:14:22.000363525+00:00	1.639484e+11
2025-06-11 03:14:30.000363525+00:00	1.639850e+11
2025-06-11 03:14:36.000363525+00:00	1.640737e+11
2025-06-11 03:14:39.000363525+00:00	1.639859e+11
2025-06-11 03:14:42.000363525+00:00	1.639915e+11
2025-06-11 03:14:43.000363525+00:00	1.639746e+11
2025-06-11 03:14:45.000363525+00:00	1.639840e+11
2025-06-11 03:14:55.000363525+00:00	1.640644e+11
2025-06-11 03:15:00.000363525+00:00	1.641130e+11
2025-06-11 03:15:03.000363525+00:00	1.641065e+11
2025-06-11 03:15:04.000363525+00:00	1.641038e+11
2025-06-11 03:15:06.000363525+00:00	1.641024e+11
2025-06-11 03:15:09.000363525+00:00	1.640961e+11
2025-06-11 03:15:10.000363525+00:00	1.640963e+11
2025-06-11 03:15:17.000363525+00:00	1.641003e+11
2025-06-11 03:15:18.000363525+00:00	1.641077e+11
2025-06-11 03:15:21.000363525+00:00	1.641017e+11
2025-06-11 03:15:22.000363525+00:00	1.640903e+11
2025-06-11 03:15:23.000363525+00:00	1.640915e+11
2025-06-11 03:15:24.000363525+00:00	1.640909e+11
2025-06-11 03:15:30.000363525+00:00	1.641091e+11
2025-06-11 03:15:33.000363525+00:00	1.641040e+11
2025-06-11 03:15:39.000363525+00:00	1.640854e+11
2025-06-11 03:15:46.000363525+00:00	1.640806e+11
2025-06-11 03:15:56.000363525+00:00	1.640406e+11
2025-06-11 03:16:01.000363525+00:00	1.640512e+11
2025-06-11 03:16:02.000363525+00:00	1.640466e+11
2025-06-11 03:16:03.000363525+00:00	1.640405e+11
2025-06-11 03:16:12.000363525+00:00	1.640545e+11
2025-06-11 03:16:16.000363525+00:00	1.640410e+11
2025-06-11 03:16:20.000363525+00:00	1.640399e+11
2025-06-11 03:16:23.000363525+00:00	1.640441e+11
2025-06-11 03:16:26.000363525+00:00	1.640329e+11
2025-06-11 03:16:32.000363525+00:00	1.640306e+11
2025-06-11 03:16:35.000363525+00:00	1.640366e+11
2025-06-11 03:16:39.000363525+00:00	1.640475e+11
2025-06-11 03:16:47.000363525+00:00	1.640362e+11
2025-06-11 03:16:59.000363525+00:00	1.640329e+11
2025-06-11 03:17:00.000363525+00:00	1.640378e+11
2025-06-11 03:17:02.000363525+00:00	1.640360e+11
2025-06-11 03:17:03.000363525+00:00	1.640260e+11
