slot	INJPHYS second time	INJPHYS second value
1878	2025-06-11 03:27:04.933992	140734644224.0
1886	2025-06-11 03:27:04.933992	136921776128.0
1900	2025-06-11 03:27:04.933992	161031274496.0
1902	2025-06-11 03:27:04.933992	157716807680.0
1912	2025-06-11 03:27:04.933992	148116340736.0
1921	2025-06-11 03:27:04.933992	142869610496.0
1929	2025-06-11 03:27:04.933992	147250872320.0
1943	2025-06-11 03:27:04.933992	152459280384.0
1945	2025-06-11 03:27:04.933992	152684707840.0
1964	2025-06-11 03:27:04.933992	146565627904.0
1996	2025-06-11 03:28:18.934005	150287679488.0
2002	2025-06-11 03:28:18.934005	164230365184.0
2012	2025-06-11 03:28:18.934005	155151597568.0
2022	2025-06-11 03:28:18.934005	164573872128.0
2031	2025-06-11 03:28:18.934005	144644259840.0
2039	2025-06-11 03:28:18.934005	142716895232.0
2053	2025-06-11 03:28:18.934005	160559235072.0
2055	2025-06-11 03:28:18.934005	158076698624.0
2065	2025-06-11 03:28:18.934005	155548975104.0
2074	2025-06-11 03:28:18.934005	147188613120.0
2082	2025-06-11 03:28:18.934005	145909170176.0
2096	2025-06-11 03:28:18.934005	153072746496.0
2098	2025-06-11 03:28:18.934005	150720643072.0
2108	2025-06-11 03:28:18.934005	156364079104.0
2117	2025-06-11 03:28:18.934005	150605430784.0
2125	2025-06-11 03:28:18.934005	141145473024.0
2139	2025-06-11 03:28:18.934005	157867589632.0
2141	2025-06-11 03:28:18.934005	157572087808.0
2160	2025-06-11 03:28:18.934005	157861511168.0
2192	2025-06-11 03:29:37.934005	159716327424.0
2198	2025-06-11 03:29:37.934005	167632224256.0
2208	2025-06-11 03:29:37.934005	155141980160.0
2218	2025-06-11 03:29:37.934005	153725108224.0
2227	2025-06-11 03:29:37.934005	146078023680.0
2235	2025-06-11 03:29:37.934005	142654963712.0
2249	2025-06-11 03:29:37.934005	155076788224.0
2251	2025-06-11 03:29:37.934005	156920889344.0
2261	2025-06-11 03:29:37.934005	152465014784.0
2270	2025-06-11 03:29:37.934005	144455680000.0
2278	2025-06-11 03:29:37.934005	139683233792.0
2292	2025-06-11 03:29:37.934005	164884316160.0
2294	2025-06-11 03:29:37.934005	152729698304.0
2304	2025-06-11 03:29:37.934005	154165182464.0
2313	2025-06-11 03:29:37.934005	146650103808.0
2321	2025-06-11 03:29:37.934005	143426306048.0
2335	2025-06-11 03:29:37.934005	159168348160.0
2337	2025-06-11 03:29:37.934005	158629101568.0
2356	2025-06-11 03:29:37.934005	163486023680.0
2388	2025-06-11 03:30:56.933993	150509338624.0
2394	2025-06-11 03:30:56.933993	164823252992.0
2404	2025-06-11 03:30:56.933993	163045720064.0
2414	2025-06-11 03:30:56.933993	158097195008.0
2423	2025-06-11 03:30:56.933993	142851244032.0
2431	2025-06-11 03:30:56.933993	139607703552.0
2445	2025-06-11 03:30:56.933993	158681661440.0
2447	2025-06-11 03:30:56.933993	155108933632.0
2457	2025-06-11 03:30:56.933993	154729447424.0
2466	2025-06-11 03:30:56.933993	141415071744.0
2474	2025-06-11 03:30:56.933993	143482781696.0
2488	2025-06-11 03:30:56.933993	163309715456.0
2490	2025-06-11 03:30:56.933993	153511149568.0
2500	2025-06-11 03:30:56.933993	162651783168.0
2509	2025-06-11 03:30:56.933993	148918222848.0
2517	2025-06-11 03:30:56.933993	137203449856.0
2531	2025-06-11 03:30:56.933993	169244000256.0
2533	2025-06-11 03:30:56.933993	161920385024.0
2552	2025-06-11 03:30:56.933993	164046176256.0
2584	2025-06-11 03:32:21.933994	156068806656.0
2590	2025-06-11 03:32:21.933994	171248533504.0
2600	2025-06-11 03:32:21.933994	158795792384.0
2610	2025-06-11 03:32:21.933994	160116211712.0
2619	2025-06-11 03:32:21.933994	147917783040.0
2627	2025-06-11 03:32:21.933994	136178991104.0
2641	2025-06-11 03:32:21.933994	166102450176.0
2643	2025-06-11 03:32:21.933994	153753452544.0
2662	2025-06-11 03:32:21.933994	152703959040.0
2725	2025-06-11 03:33:39.933993	148295008256.0
2731	2025-06-11 03:33:39.933993	166123520000.0
2741	2025-06-11 03:33:39.933993	162488926208.0
2751	2025-06-11 03:33:39.933993	156316073984.0
2760	2025-06-11 03:33:39.933993	140244664320.0
2768	2025-06-11 03:33:39.933993	145244635136.0
2782	2025-06-11 03:33:39.933993	157521510400.0
2784	2025-06-11 03:33:39.933993	156706177024.0
2794	2025-06-11 03:33:39.933993	151427563520.0
2803	2025-06-11 03:33:39.933993	139670978560.0
2811	2025-06-11 03:33:39.933993	136585953280.0
2825	2025-06-11 03:33:39.933993	157156458496.0
2827	2025-06-11 03:33:39.933993	156490285056.0
2846	2025-06-11 03:33:39.933993	150053060608.0
2878	2025-06-11 03:34:57.933994	154331119616.0
2884	2025-06-11 03:34:57.933994	163073622016.0
2894	2025-06-11 03:34:57.933994	158297505792.0
2904	2025-06-11 03:34:57.933994	156130852864.0
2913	2025-06-11 03:34:57.933994	144922427392.0
2921	2025-06-11 03:34:57.933994	147073171456.0
2935	2025-06-11 03:34:57.933994	147545227264.0
2937	2025-06-11 03:34:57.933994	142499364864.0
2947	2025-06-11 03:34:57.933994	147901382656.0
2956	2025-06-11 03:34:57.933994	141103562752.0
2964	2025-06-11 03:34:57.933994	134223306752.0
2978	2025-06-11 03:34:57.933994	164355407872.0
2980	2025-06-11 03:34:57.933994	156068806656.0
2990	2025-06-11 03:34:57.933994	158478974976.0
2999	2025-06-11 03:34:57.933994	149813985280.0
3007	2025-06-11 03:34:57.933994	142434516992.0
3021	2025-06-11 03:34:57.933994	162331803648.0
3023	2025-06-11 03:34:57.933994	155986837504.0
3042	2025-06-11 03:34:57.933994	157972971520.0
3074	2025-06-11 03:36:22.933990	160244301824.0
3080	2025-06-11 03:36:22.933990	160388530176.0
3090	2025-06-11 03:36:22.933990	153871695872.0
3100	2025-06-11 03:36:22.933990	156633350144.0
3109	2025-06-11 03:36:22.933990	140646252544.0
3117	2025-06-11 03:36:22.933990	140224757760.0
3131	2025-06-11 03:36:22.933990	157374922752.0
3133	2025-06-11 03:36:22.933990	155914485760.0
3143	2025-06-11 03:36:22.933990	156401778688.0
3152	2025-06-11 03:36:22.933990	146866405376.0
3160	2025-06-11 03:36:22.933990	136870690816.0
3174	2025-06-11 03:36:22.933990	162342109184.0
3176	2025-06-11 03:36:22.933990	163279208448.0
3186	2025-06-11 03:36:22.933990	154624983040.0
3195	2025-06-11 03:36:22.933990	147964837888.0
3203	2025-06-11 03:36:22.933990	136159559680.0
3217	2025-06-11 03:36:22.933990	170979016704.0
3219	2025-06-11 03:36:22.933990	163835805696.0
3238	2025-06-11 03:36:22.933990	163399335936.0
3270	2025-06-11 03:38:58.933993	159680675840.0
3276	2025-06-11 03:38:58.933993	169482747904.0
3286	2025-06-11 03:38:58.933993	153826033664.0
3296	2025-06-11 03:38:58.933993	162928214016.0
3305	2025-06-11 03:38:58.933993	145595400192.0
3313	2025-06-11 03:38:58.933993	143391277056.0
3327	2025-06-11 03:38:58.933993	160789889024.0
3329	2025-06-11 03:38:58.933993	154528038912.0
3339	2025-06-11 03:38:58.933993	161479950336.0
3348	2025-06-11 03:38:58.933993	142268956672.0
3356	2025-06-11 03:38:58.933993	143248916480.0
3370	2025-06-11 03:38:58.933993	161920401408.0
3372	2025-06-11 03:38:58.933993	153535217664.0
3382	2025-06-11 03:38:58.933993	157235609600.0
3391	2025-06-11 03:38:58.933993	150254436352.0
3399	2025-06-11 03:38:58.933993	142692319232.0
3413	2025-06-11 03:38:58.933993	157972496384.0
3415	2025-06-11 03:38:58.933993	151427334144.0
3434	2025-06-11 03:38:58.933993	153965592576.0
